540 1000 Loss: 1.016 | Acc: 74.935% (4054/5410)
560 1000 Loss: 1.011 | Acc: 74.991% (4207/5610)
580 1000 Loss: 1.009 | Acc: 75.043% (4360/5810)
600 1000 Loss: 1.011 | Acc: 75.042% (4510/6010)
620 1000 Loss: 1.016 | Acc: 74.895% (4651/6210)
640 1000 Loss: 1.009 | Acc: 75.039% (4810/6410)
660 1000 Loss: 1.014 | Acc: 75.023% (4959/6610)
680 1000 Loss: 1.011 | Acc: 75.066% (5112/6810)
700 1000 Loss: 1.007 | Acc: 75.235% (5274/7010)
720 1000 Loss: 1.008 | Acc: 75.270% (5427/7210)
740 1000 Loss: 1.007 | Acc: 75.223% (5574/7410)
760 1000 Loss: 1.005 | Acc: 75.217% (5724/7610)
780 1000 Loss: 1.010 | Acc: 75.198% (5873/7810)
800 1000 Loss: 1.015 | Acc: 75.119% (6017/8010)
820 1000 Loss: 1.017 | Acc: 75.079% (6164/8210)
840 1000 Loss: 1.015 | Acc: 75.042% (6311/8410)
860 1000 Loss: 1.008 | Acc: 75.226% (6477/8610)
880 1000 Loss: 1.007 | Acc: 75.199% (6625/8810)
900 1000 Loss: 1.005 | Acc: 75.272% (6782/9010)
920 1000 Loss: 1.009 | Acc: 75.147% (6921/9210)
940 1000 Loss: 1.006 | Acc: 75.228% (7079/9410)
960 1000 Loss: 1.009 | Acc: 75.286% (7235/9610)
980 1000 Loss: 1.007 | Acc: 75.362% (7393/9810)

Epoch: 163
0 391 Loss: 0.030 | Acc: 100.000% (128/128)
20 391 Loss: 0.024 | Acc: 99.888% (2685/2688)
40 391 Loss: 0.026 | Acc: 99.809% (5238/5248)
60 391 Loss: 0.027 | Acc: 99.821% (7794/7808)
80 391 Loss: 0.028 | Acc: 99.826% (10350/10368)
100 391 Loss: 0.028 | Acc: 99.822% (12905/12928)
120 391 Loss: 0.028 | Acc: 99.839% (15463/15488)
140 391 Loss: 0.028 | Acc: 99.850% (18021/18048)
160 391 Loss: 0.028 | Acc: 99.854% (20578/20608)
180 391 Loss: 0.028 | Acc: 99.858% (23135/23168)
200 391 Loss: 0.028 | Acc: 99.856% (25691/25728)
220 391 Loss: 0.028 | Acc: 99.866% (28250/28288)
240 391 Loss: 0.028 | Acc: 99.861% (30805/30848)
260 391 Loss: 0.028 | Acc: 99.859% (33361/33408)
280 391 Loss: 0.028 | Acc: 99.864% (35919/35968)
300 391 Loss: 0.027 | Acc: 99.865% (38476/38528)
320 391 Loss: 0.027 | Acc: 99.869% (41034/41088)
340 391 Loss: 0.027 | Acc: 99.867% (43590/43648)
360 391 Loss: 0.027 | Acc: 99.868% (46147/46208)
380 391 Loss: 0.027 | Acc: 99.863% (48701/48768)
0 1000 Loss: 1.680 | Acc: 50.000% (5/10)
20 1000 Loss: 0.899 | Acc: 76.667% (161/210)
40 1000 Loss: 0.860 | Acc: 77.805% (319/410)
60 1000 Loss: 0.988 | Acc: 75.902% (463/610)
80 1000 Loss: 0.944 | Acc: 76.790% (622/810)
100 1000 Loss: 1.009 | Acc: 75.347% (761/1010)
120 1000 Loss: 1.002 | Acc: 75.620% (915/1210)
140 1000 Loss: 0.984 | Acc: 75.887% (1070/1410)
160 1000 Loss: 0.998 | Acc: 75.839% (1221/1610)
180 1000 Loss: 1.022 | Acc: 75.249% (1362/1810)
200 1000 Loss: 1.004 | Acc: 75.572% (1519/2010)
220 1000 Loss: 1.009 | Acc: 75.294% (1664/2210)
240 1000 Loss: 1.020 | Acc: 75.021% (1808/2410)
260 1000 Loss: 1.003 | Acc: 75.249% (1964/2610)
280 1000 Loss: 1.008 | Acc: 75.089% (2110/2810)
300 1000 Loss: 1.023 | Acc: 74.718% (2249/3010)
320 1000 Loss: 1.023 | Acc: 74.766% (2400/3210)
340 1000 Loss: 1.029 | Acc: 74.604% (2544/3410)
360 1000 Loss: 1.038 | Acc: 74.515% (2690/3610)
380 1000 Loss: 1.026 | Acc: 74.724% (2847/3810)
400 1000 Loss: 1.023 | Acc: 74.713% (2996/4010)
420 1000 Loss: 1.023 | Acc: 74.608% (3141/4210)
440 1000 Loss: 1.018 | Acc: 74.649% (3292/4410)
460 1000 Loss: 1.021 | Acc: 74.642% (3441/4610)
480 1000 Loss: 1.017 | Acc: 74.719% (3594/4810)
500 1000 Loss: 1.019 | Acc: 74.770% (3746/5010)
520 1000 Loss: 1.015 | Acc: 74.722% (3893/5210)
540 1000 Loss: 1.011 | Acc: 74.787% (4046/5410)
560 1000 Loss: 1.007 | Acc: 74.884% (4201/5610)
580 1000 Loss: 1.005 | Acc: 74.957% (4355/5810)
600 1000 Loss: 1.008 | Acc: 74.958% (4505/6010)
620 1000 Loss: 1.011 | Acc: 74.815% (4646/6210)
640 1000 Loss: 1.005 | Acc: 74.914% (4802/6410)
660 1000 Loss: 1.011 | Acc: 74.887% (4950/6610)
680 1000 Loss: 1.008 | Acc: 74.934% (5103/6810)
700 1000 Loss: 1.005 | Acc: 75.093% (5264/7010)
720 1000 Loss: 1.005 | Acc: 75.118% (5416/7210)
740 1000 Loss: 1.005 | Acc: 75.047% (5561/7410)
760 1000 Loss: 1.003 | Acc: 75.046% (5711/7610)
780 1000 Loss: 1.008 | Acc: 75.032% (5860/7810)
800 1000 Loss: 1.014 | Acc: 74.931% (6002/8010)
820 1000 Loss: 1.017 | Acc: 74.909% (6150/8210)
840 1000 Loss: 1.016 | Acc: 74.839% (6294/8410)
860 1000 Loss: 1.009 | Acc: 74.994% (6457/8610)
880 1000 Loss: 1.008 | Acc: 75.006% (6608/8810)
900 1000 Loss: 1.005 | Acc: 75.105% (6767/9010)
920 1000 Loss: 1.008 | Acc: 75.016% (6909/9210)
940 1000 Loss: 1.005 | Acc: 75.090% (7066/9410)
960 1000 Loss: 1.008 | Acc: 75.151% (7222/9610)
980 1000 Loss: 1.005 | Acc: 75.229% (7380/9810)

Epoch: 164
0 391 Loss: 0.051 | Acc: 99.219% (127/128)
20 391 Loss: 0.028 | Acc: 99.888% (2685/2688)
40 391 Loss: 0.028 | Acc: 99.886% (5242/5248)
60 391 Loss: 0.027 | Acc: 99.859% (7797/7808)
80 391 Loss: 0.027 | Acc: 99.875% (10355/10368)
100 391 Loss: 0.026 | Acc: 99.884% (12913/12928)
120 391 Loss: 0.027 | Acc: 99.877% (15469/15488)
140 391 Loss: 0.027 | Acc: 99.884% (18027/18048)
160 391 Loss: 0.027 | Acc: 99.874% (20582/20608)
180 391 Loss: 0.027 | Acc: 99.871% (23138/23168)
200 391 Loss: 0.027 | Acc: 99.876% (25696/25728)
220 391 Loss: 0.027 | Acc: 99.873% (28252/28288)
240 391 Loss: 0.027 | Acc: 99.870% (30808/30848)
260 391 Loss: 0.027 | Acc: 99.868% (33364/33408)
280 391 Loss: 0.027 | Acc: 99.872% (35922/35968)
300 391 Loss: 0.027 | Acc: 99.862% (38475/38528)
320 391 Loss: 0.027 | Acc: 99.852% (41027/41088)
340 391 Loss: 0.027 | Acc: 99.846% (43581/43648)
360 391 Loss: 0.027 | Acc: 99.851% (46139/46208)
380 391 Loss: 0.027 | Acc: 99.852% (48696/48768)
0 1000 Loss: 1.627 | Acc: 50.000% (5/10)
20 1000 Loss: 0.910 | Acc: 75.714% (159/210)
40 1000 Loss: 0.870 | Acc: 77.317% (317/410)
60 1000 Loss: 0.996 | Acc: 75.246% (459/610)
80 1000 Loss: 0.952 | Acc: 76.296% (618/810)
100 1000 Loss: 1.012 | Acc: 74.950% (757/1010)
120 1000 Loss: 1.001 | Acc: 75.372% (912/1210)
140 1000 Loss: 0.983 | Acc: 75.674% (1067/1410)
160 1000 Loss: 0.998 | Acc: 75.652% (1218/1610)
180 1000 Loss: 1.018 | Acc: 75.028% (1358/1810)
200 1000 Loss: 1.000 | Acc: 75.274% (1513/2010)
220 1000 Loss: 1.003 | Acc: 74.977% (1657/2210)
240 1000 Loss: 1.012 | Acc: 74.730% (1801/2410)
260 1000 Loss: 0.996 | Acc: 75.019% (1958/2610)
280 1000 Loss: 1.002 | Acc: 74.804% (2102/2810)
300 1000 Loss: 1.017 | Acc: 74.419% (2240/3010)
320 1000 Loss: 1.018 | Acc: 74.393% (2388/3210)
340 1000 Loss: 1.026 | Acc: 74.311% (2534/3410)
360 1000 Loss: 1.034 | Acc: 74.266% (2681/3610)
380 1000 Loss: 1.023 | Acc: 74.436% (2836/3810)
400 1000 Loss: 1.019 | Acc: 74.489% (2987/4010)
420 1000 Loss: 1.021 | Acc: 74.442% (3134/4210)
440 1000 Loss: 1.017 | Acc: 74.490% (3285/4410)
460 1000 Loss: 1.020 | Acc: 74.555% (3437/4610)
480 1000 Loss: 1.016 | Acc: 74.657% (3591/4810)
500 1000 Loss: 1.016 | Acc: 74.711% (3743/5010)
520 1000 Loss: 1.013 | Acc: 74.702% (3892/5210)
540 1000 Loss: 1.009 | Acc: 74.713% (4042/5410)
560 1000 Loss: 1.004 | Acc: 74.795% (4196/5610)
580 1000 Loss: 1.004 | Acc: 74.871% (4350/5810)
600 1000 Loss: 1.005 | Acc: 74.908% (4502/6010)
620 1000 Loss: 1.010 | Acc: 74.767% (4643/6210)
640 1000 Loss: 1.003 | Acc: 74.914% (4802/6410)
660 1000 Loss: 1.010 | Acc: 74.871% (4949/6610)
680 1000 Loss: 1.006 | Acc: 74.934% (5103/6810)
700 1000 Loss: 1.002 | Acc: 75.078% (5263/7010)
720 1000 Loss: 1.002 | Acc: 75.118% (5416/7210)
740 1000 Loss: 1.001 | Acc: 75.074% (5563/7410)
760 1000 Loss: 0.998 | Acc: 75.125% (5717/7610)
780 1000 Loss: 1.003 | Acc: 75.096% (5865/7810)
800 1000 Loss: 1.008 | Acc: 75.056% (6012/8010)
820 1000 Loss: 1.010 | Acc: 75.043% (6161/8210)
840 1000 Loss: 1.009 | Acc: 75.006% (6308/8410)
860 1000 Loss: 1.001 | Acc: 75.192% (6474/8610)
880 1000 Loss: 1.000 | Acc: 75.199% (6625/8810)
900 1000 Loss: 0.997 | Acc: 75.283% (6783/9010)
920 1000 Loss: 1.001 | Acc: 75.201% (6926/9210)
940 1000 Loss: 0.998 | Acc: 75.282% (7084/9410)
960 1000 Loss: 1.000 | Acc: 75.328% (7239/9610)
980 1000 Loss: 0.998 | Acc: 75.413% (7398/9810)

Epoch: 165
0 391 Loss: 0.032 | Acc: 100.000% (128/128)
20 391 Loss: 0.027 | Acc: 99.888% (2685/2688)
40 391 Loss: 0.026 | Acc: 99.905% (5243/5248)
60 391 Loss: 0.025 | Acc: 99.898% (7800/7808)
80 391 Loss: 0.025 | Acc: 99.894% (10357/10368)
100 391 Loss: 0.026 | Acc: 99.892% (12914/12928)
120 391 Loss: 0.026 | Acc: 99.884% (15470/15488)
140 391 Loss: 0.026 | Acc: 99.878% (18026/18048)
160 391 Loss: 0.026 | Acc: 99.884% (20584/20608)
180 391 Loss: 0.026 | Acc: 99.888% (23142/23168)
200 391 Loss: 0.026 | Acc: 99.876% (25696/25728)
220 391 Loss: 0.026 | Acc: 99.873% (28252/28288)
240 391 Loss: 0.026 | Acc: 99.877% (30810/30848)
260 391 Loss: 0.026 | Acc: 99.880% (33368/33408)
280 391 Loss: 0.026 | Acc: 99.878% (35924/35968)
300 391 Loss: 0.026 | Acc: 99.873% (38479/38528)
320 391 Loss: 0.026 | Acc: 99.876% (41037/41088)
340 391 Loss: 0.026 | Acc: 99.876% (43594/43648)
360 391 Loss: 0.026 | Acc: 99.868% (46147/46208)
380 391 Loss: 0.026 | Acc: 99.871% (48705/48768)
0 1000 Loss: 1.622 | Acc: 40.000% (4/10)
20 1000 Loss: 0.927 | Acc: 76.190% (160/210)
40 1000 Loss: 0.876 | Acc: 77.561% (318/410)
60 1000 Loss: 0.996 | Acc: 75.410% (460/610)
80 1000 Loss: 0.949 | Acc: 76.296% (618/810)
100 1000 Loss: 1.008 | Acc: 75.050% (758/1010)
120 1000 Loss: 0.996 | Acc: 75.289% (911/1210)
140 1000 Loss: 0.981 | Acc: 75.532% (1065/1410)
160 1000 Loss: 0.994 | Acc: 75.590% (1217/1610)
180 1000 Loss: 1.018 | Acc: 75.028% (1358/1810)
200 1000 Loss: 0.999 | Acc: 75.323% (1514/2010)
220 1000 Loss: 1.001 | Acc: 75.113% (1660/2210)
240 1000 Loss: 1.011 | Acc: 74.813% (1803/2410)
260 1000 Loss: 0.994 | Acc: 75.134% (1961/2610)
280 1000 Loss: 1.000 | Acc: 74.875% (2104/2810)
300 1000 Loss: 1.014 | Acc: 74.618% (2246/3010)
320 1000 Loss: 1.014 | Acc: 74.517% (2392/3210)
340 1000 Loss: 1.021 | Acc: 74.428% (2538/3410)
360 1000 Loss: 1.030 | Acc: 74.349% (2684/3610)
380 1000 Loss: 1.019 | Acc: 74.541% (2840/3810)
400 1000 Loss: 1.016 | Acc: 74.564% (2990/4010)
420 1000 Loss: 1.018 | Acc: 74.418% (3133/4210)
440 1000 Loss: 1.015 | Acc: 74.467% (3284/4410)
460 1000 Loss: 1.016 | Acc: 74.512% (3435/4610)
480 1000 Loss: 1.013 | Acc: 74.615% (3589/4810)
500 1000 Loss: 1.014 | Acc: 74.611% (3738/5010)
520 1000 Loss: 1.010 | Acc: 74.664% (3890/5210)
540 1000 Loss: 1.005 | Acc: 74.732% (4043/5410)
560 1000 Loss: 1.001 | Acc: 74.777% (4195/5610)
580 1000 Loss: 1.000 | Acc: 74.854% (4349/5810)
600 1000 Loss: 1.002 | Acc: 74.825% (4497/6010)
620 1000 Loss: 1.006 | Acc: 74.702% (4639/6210)
640 1000 Loss: 1.000 | Acc: 74.836% (4797/6410)
660 1000 Loss: 1.006 | Acc: 74.796% (4944/6610)
680 1000 Loss: 1.003 | Acc: 74.905% (5101/6810)
700 1000 Loss: 1.000 | Acc: 75.078% (5263/7010)
720 1000 Loss: 1.000 | Acc: 75.146% (5418/7210)
740 1000 Loss: 0.999 | Acc: 75.074% (5563/7410)
760 1000 Loss: 0.996 | Acc: 75.151% (5719/7610)
780 1000 Loss: 1.002 | Acc: 75.096% (5865/7810)
800 1000 Loss: 1.006 | Acc: 75.031% (6010/8010)
820 1000 Loss: 1.009 | Acc: 74.994% (6157/8210)
840 1000 Loss: 1.007 | Acc: 74.970% (6305/8410)
860 1000 Loss: 1.000 | Acc: 75.168% (6472/8610)
880 1000 Loss: 0.999 | Acc: 75.153% (6621/8810)
900 1000 Loss: 0.997 | Acc: 75.250% (6780/9010)
920 1000 Loss: 1.001 | Acc: 75.168% (6923/9210)
940 1000 Loss: 0.997 | Acc: 75.250% (7081/9410)
960 1000 Loss: 1.000 | Acc: 75.265% (7233/9610)
980 1000 Loss: 0.998 | Acc: 75.331% (7390/9810)

Epoch: 166
0 391 Loss: 0.017 | Acc: 100.000% (128/128)
20 391 Loss: 0.025 | Acc: 99.963% (2687/2688)
40 391 Loss: 0.025 | Acc: 99.905% (5243/5248)
60 391 Loss: 0.026 | Acc: 99.846% (7796/7808)
80 391 Loss: 0.026 | Acc: 99.865% (10354/10368)
100 391 Loss: 0.027 | Acc: 99.845% (12908/12928)
120 391 Loss: 0.026 | Acc: 99.852% (15465/15488)
140 391 Loss: 0.026 | Acc: 99.856% (18022/18048)
160 391 Loss: 0.027 | Acc: 99.850% (20577/20608)
180 391 Loss: 0.026 | Acc: 99.858% (23135/23168)
200 391 Loss: 0.026 | Acc: 99.868% (25694/25728)
220 391 Loss: 0.026 | Acc: 99.876% (28253/28288)
240 391 Loss: 0.026 | Acc: 99.870% (30808/30848)
260 391 Loss: 0.026 | Acc: 99.865% (33363/33408)
280 391 Loss: 0.026 | Acc: 99.864% (35919/35968)
300 391 Loss: 0.026 | Acc: 99.857% (38473/38528)
320 391 Loss: 0.027 | Acc: 99.864% (41032/41088)
340 391 Loss: 0.027 | Acc: 99.863% (43588/43648)
360 391 Loss: 0.027 | Acc: 99.861% (46144/46208)
380 391 Loss: 0.027 | Acc: 99.861% (48700/48768)
0 1000 Loss: 1.613 | Acc: 50.000% (5/10)
20 1000 Loss: 0.906 | Acc: 77.143% (162/210)
40 1000 Loss: 0.867 | Acc: 77.073% (316/410)
60 1000 Loss: 0.984 | Acc: 74.918% (457/610)
80 1000 Loss: 0.936 | Acc: 76.173% (617/810)
100 1000 Loss: 1.001 | Acc: 74.752% (755/1010)
120 1000 Loss: 0.989 | Acc: 75.207% (910/1210)
140 1000 Loss: 0.972 | Acc: 75.603% (1066/1410)
160 1000 Loss: 0.989 | Acc: 75.652% (1218/1610)
180 1000 Loss: 1.012 | Acc: 75.193% (1361/1810)
200 1000 Loss: 0.996 | Acc: 75.622% (1520/2010)
220 1000 Loss: 0.996 | Acc: 75.385% (1666/2210)
240 1000 Loss: 1.006 | Acc: 75.062% (1809/2410)
260 1000 Loss: 0.990 | Acc: 75.364% (1967/2610)
280 1000 Loss: 0.996 | Acc: 75.196% (2113/2810)
300 1000 Loss: 1.012 | Acc: 74.784% (2251/3010)
320 1000 Loss: 1.013 | Acc: 74.517% (2392/3210)
340 1000 Loss: 1.020 | Acc: 74.399% (2537/3410)
360 1000 Loss: 1.027 | Acc: 74.404% (2686/3610)
380 1000 Loss: 1.015 | Acc: 74.619% (2843/3810)
400 1000 Loss: 1.012 | Acc: 74.713% (2996/4010)
